176,20210709_00:25:08,xcloudydeadrodrigo,notice me,1,5.654424,8.322346
177,20210709_00:25:08,zoeanzalucca,hello chat,1,6.928907,5.880679
178,20210709_00:25:16,lone_flayer,have u seen stranger things,1,7.503743,8.769339
179,20210709_00:25:17,0samurai_ghost0,did u have any bad experience with followers??,1,7.6168723,9.080774
180,20210709_00:25:19,miounyfurrytale,on peit mexpliquer pk le premier truc que je voir sur twitch c un Q?,1,6.779123,7.3975897
181,20210709_00:25:50,hellrayn,shes on pickle rick right?,1,5.867198,9.191477
182,20210709_00:25:55,that_foxxys0b,ALL HAIRS RED?,1,5.8670354,6.24686
183,20210709_00:25:55,diegotrex2,que coño?,1,5.473929,7.293312
184,20210709_00:26:08,mnamkaaaa,u r really pretty,2,9.183332,5.857157
185,20210709_00:26:08,taonip,DONOVAN CAN YOU HEAR ME,1,8.253032,9.006761
186,20210709_00:26:09,macskafogo1,@Amouranth Asmr?,1,5.934638,6.739905
187,20210709_00:26:15,taonip,COLLIN CAN YOU HEAR ME,1,8.275086,8.903891
188,20210709_00:26:27,fonsecajose047,porn?,1,6.917951,6.2495494
189,20210709_00:26:29,letunche1,Njs vueyg oodube oosljd bdgjw yu,1,7.689147,5.813803
190,20210709_00:26:29,mnamkaaaa,can you play some games again? i enjoyed your gameplay,2,7.89302,8.73924
191,20210709_00:26:33,drewwxox,fart,1,7.0494413,5.083605
192,20210709_00:26:36,taonip,HELP ME AMOURANTH HAS ME TRAPPED,1,7.577002,6.2095995
193,20210709_00:26:36,that_foxxys0b,NA,1,6.997001,5.0796785
194,20210709_00:26:51,ig0r117,mi fai una sega?,1,6.8816423,8.769501
195,20210709_00:26:52,zzzemmanuelzzz,omg that ass is fat,0,8.282112,5.295772
196,20210709_00:26:52,ljwalsh15,@fonsecajose047 ???????m?,1,7.439713,6.6347384
197,20210709_00:26:58,parsaqsp,you are bi tch,1,8.007181,6.012792
198,20210709_00:26:58,mrcontable,dear Amouranth do you like cocaine?,1,7.5621924,7.321367
199,20210709_00:26:59,gizzetv,Can someone explain the purpose of this stream?,1,5.6268454,8.008296
200,20210709_00:27:03,romeopapathreefour,dont u all want a pool and a big thing to float on? :D i do... :D,1,7.4203396,8.609236
201,20210709_00:27:05,kingofkyrat697,Can you sign my cucumber too?,1,6.728629,9.144364
202,20210709_00:27:12,eldur9,bella me ni videmu quacchi iornu?,1,7.0852513,8.171857
203,20210709_00:27:15,omarrkh98,is it a hot tub stream or hot amouranth ?,1,9.185629,7.0682263
204,20210709_00:27:19,jocketan,är det någon mer än jag som runkar?,1,6.4936585,8.371272
205,20210709_00:27:21,robo_baby,Does it fart queen?,1,8.878009,7.4865236
206,20210709_00:27:24,anonymous_91v,are u social,1,8.034394,7.239498
207,20210709_00:27:28,thrashmaster1187,were you a good student in high school,1,8.570846,8.186213
208,20210709_00:27:32,chuckkid3,are you going to see black widow?,1,8.132829,8.575722
209,20210709_00:27:32,c_dag_gaming_fr,aime tu la bit€ ?,1,8.099794,7.9743204
210,20210709_00:27:35,ztoxichris,questa sta tutto il giorno così e fa soldi?,1,6.140263,8.299941
211,20210709_00:27:40,axetr00,Can you pls say something horney?,1,6.82418,8.10018
212,20210709_00:27:43,westhhh,@Amouranth are you lesbian,1,7.8772616,7.498414
213,20210709_00:27:43,balou487,Can you sign my cucumber too?,1,6.7348533,9.26176
214,20210709_00:27:47,jumaxviii,next ASMR stream ?,1,5.1030717,6.7326145
215,20210709_00:28:06,potatosloth123,can u spin,1,7.15791,9.301119
216,20210709_00:28:08,littlemagicbeast,are u from dallas,1,6.266868,6.5659037
217,20210709_00:28:08,thomas_england,hey wanna hangout?,1,7.3532195,7.4448733
218,20210709_00:28:15,robo_baby,amouranth my queen does it fart?,1,8.783268,7.569708
219,20210709_00:28:19,robo_baby,amouranth my queen does it fart? amouranth my queen does it fart?,1,8.755502,7.6496696
220,20210709_00:28:20,robo_baby,amouranth my queen does it fart? amouranth my queen does it fart? amouranth my queen does it fart? amouranth my queen does it fart?,1,8.724973,7.6025085
221,20210709_00:28:22,robo_baby,amouranth my queen does it fart? amouranth my queen does it fart? amouranth my queen does it fart?,1,8.620465,7.6070466
222,20210709_00:28:24,omarrkh98,i cant deside is it hot tub stream or hot amouranth stream?,1,9.1146555,7.091032
223,20210709_00:28:26,jumaxviii,next ASMR stream ?,1,5.108273,6.729657
